fips,population,population_per_sqmile
17149,15754,18.43825676044399
17151,4249,11.349185190744208
17153,5611,27.688259623092165
17155,5746,33.47054477843953
17157,32546,54.37449352890498
17159,15881,43.68744598269207
17161,145275,322.41701281922815
17163,263463,389.7203882811603
17165,24231,62.612056511663845
17167,197661,224.68142545967805
17169,7064,15.888163883079107
17171,5047,19.886665111220303
17173,21832,28.32255690105512
17175,5500,18.99176547936574
17177,45433,80.25133835842483
17179,133852,202.8904477857777
17181,17127,40.50951241224544
17183,78407,86.79519463995832
17185,11573,50.485521023334464
17187,17338,31.90631231347104
17189,14155,25.12162086188332
17191,16487,23.000688706743134
17193,14025,28.075236516056023
17195,56396,80.75773956043702
17197,688697,809.54489830049
17199,67299,151.09670253360494
17201,286174,549.1590259767638
17203,38817,71.40934947076796
18001,35195,103.32763480775337
18003,370016,560.4181149405421
18005,81893,199.42147522069027
18007,8667,21.30286427469743
18009,12129,73.46509764119709
18011,64321,151.94110464748442
18013,15034,47.724466148401994
18015,19994,53.39419625753449
18017,38084,91.63809278597526
18019,115702,309.2063349185906
18021,26268,72.86678548057293
18023,32301,79.74317280407004
18025,10581,34.35952094835529
18027,32937,75.18483300535193
18029,49501,161.05491401878206
18031,26552,71.32939605844196
18033,42704,117.4722581805528
18035,115616,291.23986560842553
18037,42418,97.55261703344046
18039,203604,435.9847968182486
18041,23259,108.05036288919756
18043,76809,507.6033173544925
18045,16486,41.39812292615728
18047,22842,58.32235623342383
18049,20212,54.49565172692155
18051,33596,67.1732494867544
18053,66944,161.4495919764304
18055,32295,59.2002710786997
18057,316095,783.9538434918097
18059,73830,240.57670412212656
18061,39712,81.73327652865348
18063,160940,393.3850251669838
18065,48483,122.70449815666834
18067,82387,280.079530180935
18069,36378,93.87919585791687
18071,43938,85.24086525435752
18073,33449,59.45959866015546
18075,20993,54.67262198904202
18077,32237,88.6888740552494
18079,27727,73.23916813475769
18081,151564,471.55649369548377
18083,37409,71.23850190274267
18085,78806,141.9986614556415
18087,38942,100.6167680765225
18089,486849,965.0172732396187
18091,110552,182.9101807050846
18093,45619,100.82581527099632
18095,129505,286.72666032446654
18097,944523,2343.973833086698
